subjid,gameid,b1,b2,b3,b4,b5,B11,B21,B12,B22,B13,B23,B14,B24,B15,B25
70095,194,.2,.40000001,.60000002,0,.2,.2,.2,.40000001,.2,.60000002,0,0,0,.2,0
70095,205,.40000001,.2,.60000002,.2,.2,.2,.2,0,.2,0,0,.2,0,.2,0
70097,184,0,.40000001,0,0,.2,0,.2,.2,0,0,0,0,0,.2,0
70097,187,0,.40000001,.40000001,0,0,0,.2,.40000001,0,.40000001,0,0,0,0,0
70097,188,1,1,.80000001,1,1,1,.2,1,0,1,0,1,0,1,0
70097,194,0,0,.2,1,.80000001,0,.2,0,0,.2,0,1,0,.80000001,0
70097,210,1,.80000001,.60000002,.40000001,1,.40000001,.2,0,0,.2,0,.2,0,.2,0
70106,184,0,.40000001,.40000001,.80000001,.40000001,0,.2,.40000001,0,.2,0,.60000002,0,.40000001,0
70106,192,0,0,.40000001,.40000001,.40000001,0,.2,0,0,.40000001,0,0,0,0,0
70106,193,1,1,1,.60000002,.40000001,.80000001,.2,.80000001,0,1,0,.60000002,0,.2,0
70106,194,0,.2,0,0,0,0,.2,.2,0,0,0,0,0,0,0
70106,195,1,1,1,1,1,0,.2,0,0,.2,0,0,0,0,0
70109,187,0,0,0,.60000002,.2,0,.2,0,0,0,0,.60000002,0,.2,0
70109,190,0,0,.40000001,.40000001,0,0,.2,0,.2,.40000001,0,.40000001,0,0,0
70109,200,1,1,.60000002,.80000001,1,1,.40000001,.80000001,0,0,0,.2,0,.60000002,0
70109,201,0,.2,.2,.40000001,0,0,.2,0,.2,0,0,0,0,0,0
70109,205,.40000001,.40000001,.80000001,.60000002,.60000002,0,.40000001,.2,.2,.40000001,0,.40000001,.2,.40000001,0
70113,181,.40000001,0,0,0,.2,.40000001,.40000001,0,0,0,0,0,0,0,0
70113,194,1,1,1,.40000001,0,.80000001,.2,1,0,1,0,.40000001,0,0,0
70113,195,1,1,1,1,1,0,.2,0,0,0,0,0,0,0,0
70113,198,0,.2,0,0,0,0,.2,0,0,0,0,0,0,0,0
70113,204,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71045,186,0,.60000002,1,.80000001,0,0,.2,.60000002,0,1,0,.80000001,.2,0,0
71045,193,0,0,0,0,.80000001,0,.2,0,0,0,.2,0,0,0,.2
71045,194,1,1,0,0,0,1,.2,1,0,0,0,0,0,0,0
71045,197,1,1,1,1,1,.40000001,.2,.2,0,.40000001,0,.80000001,0,.60000002,0
71045,202,1,1,1,1,1,0,.40000001,0,0,0,0,0,0,0,0
71049,182,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71049,189,0,.40000001,.60000002,0,0,0,.2,.40000001,0,0,0,0,0,0,0
71049,190,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71049,193,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71049,195,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
71051,188,1,1,1,1,1,0,.2,.80000001,.2,.2,0,0,.2,0,0
71051,196,.2,.40000001,0,.60000002,.80000001,0,.40000001,.40000001,.2,0,0,.40000001,0,.2,0
71051,202,1,1,1,1,1,.2,.2,0,0,0,0,0,0,0,0
71051,203,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71051,209,1,.40000001,.60000002,.80000001,.60000002,1,.2,.40000001,.2,.60000002,0,.80000001,0,.60000002,0
71052,184,0,.2,.2,.2,.40000001,0,.2,.2,0,0,0,.2,0,.40000001,.2
71052,195,1,.60000002,.40000001,1,.40000001,0,.2,0,.2,0,0,.2,.2,0,0
71052,197,0,0,.60000002,.40000001,.80000001,0,.2,0,0,0,0,.2,0,.2,0
71052,199,.40000001,.40000001,.40000001,0,.40000001,0,.40000001,.40000001,0,.2,0,0,0,0,0
71052,204,.80000001,.60000002,.40000001,.80000001,.2,.2,.2,0,0,.2,0,0,0,0,0
71070,182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
71070,185,.2,.60000002,.40000001,1,1,.2,.40000001,.60000002,0,0,0,0,0,0,0
71070,190,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71070,194,0,0,0,0,0,0,.40000001,0,0,0,.2,0,0,0,0
71070,197,.2,.2,0,0,0,0,.2,.2,0,0,0,0,0,0,0
71092,185,.80000001,.80000001,.80000001,1,1,.80000001,.2,.80000001,0,.80000001,0,1,0,1,0
71092,186,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,.2
71092,190,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71092,206,.2,.80000001,1,1,1,0,.2,0,0,0,0,0,.2,0,.2
71092,207,.40000001,.40000001,.80000001,.60000002,1,0,.2,.40000001,0,.80000001,.2,.2,0,.2,.2
71097,188,1,1,1,1,1,0,.40000001,0,0,0,0,0,0,0,0
71097,189,0,0,.2,.40000001,0,0,.2,0,0,0,0,0,0,0,0
71097,191,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71097,192,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
71097,197,.40000001,.60000002,1,.80000001,.80000001,.2,.2,0,0,.40000001,0,.2,0,.2,0
71108,183,1,1,1,1,1,0,.2,0,0,0,0,.2,0,0,0
71108,187,0,0,0,0,0,0,.40000001,0,0,0,0,0,0,0,0
71108,191,0,0,0,0,0,0,.2,0,0,0,.2,0,0,0,0
71108,196,0,0,0,0,0,0,.2,0,0,0,0,0,.2,0,0
71108,203,0,0,0,0,0,0,.2,0,0,0,0,0,0,0,0
