subjid,gameid,b,age,set,ha,pha,la,lotnuma,hb,phb,lb,lotnumb,amb,corr,order,trial,payoff,forgone,rt,feedback,block,eva,evb,skewa,skewb,dominance,hapwa,lapwa,hapwb,lapwb,relativeorder,Gender,Location,Condition,ShapeA,ShapeB,diffev,change_reactiontime,behavior_change_af
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,11,83,20,1418,1,3,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,221.75,1
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,12,21,20,1114,1,3,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-304,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,13,21,20,906,1,3,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-208,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,14,-37,20,957,1,3,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,51,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,15,21,20,2305,1,3,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,1348,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,16,-37,20,2111,1,4,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,362.5,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,17,35,20,2345,1,4,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,234,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,18,20,21,968,1,4,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-1377,1
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,19,20,27,989,1,4,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,21,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,20,20,23,3561,1,4,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,2572,0
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,21,21,20,1112,1,5,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-32.25,1
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,22,23,20,888,1,5,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-224,0
60004,151,1,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,23,20,23,1419,1,5,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,531,1
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,24,21,20,987,1,5,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-432,1
60004,151,0,23,6,27,.80000001,-37,7,28,.0099999998,20,3,0,0,2,25,23,20,983,1,5,14.2,20.08,.31596988,9.9667168,1,.025,.1,.0049999999,.495,.06666667,1,1,1,3,4,-5.8800001,-4,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,1,6,15,12906,0,1,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-3051,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,2,6,15,676,0,1,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-12230,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,3,12,6,689,0,1,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,13,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,4,15,6,807,0,1,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,118,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,5,6,15,702,0,1,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-105,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,6,6,15,636,1,2,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-10,1
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,7,6,15,1248,1,2,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,612,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,8,15,6,892,1,2,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-356,1
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,9,15,6,695,1,2,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-197,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,10,15,41,596,1,2,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-99,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,11,15,6,1207,1,3,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-120.25,1
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,12,15,6,690,1,3,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-517,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,13,15,39,687,1,3,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-3,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,14,38,15,2404,1,3,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,1717,1
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,15,38,15,726,1,3,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-1678,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,16,40,15,572,1,4,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-4.75,1
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,17,37,15,622,1,4,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,50,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,18,6,15,666,1,4,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,44,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,19,15,6,567,1,4,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-99,1
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,20,15,6,553,1,4,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-14,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,21,12,6,547,1,5,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,5.75,1
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,22,15,40,741,1,5,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,194,0
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,23,6,15,635,1,5,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-106,1
60004,153,0,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,24,6,15,599,1,5,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-36,0
60004,153,1,23,6,39,.40000001,6,5,15,.94999999,12,1,0,1,27,25,15,39,570,1,5,19.200001,14.85,.41292325,-4.1294832,1,.050000001,.30000001,1.9,.025,.89999998,1,1,1,4,1,4.3500004,-29,1
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,1,0,-1,12508,0,1,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-2929.75,0
60004,156,0,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,2,-1,-1,2075,0,1,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-10433,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,3,-1,-1,995,0,1,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-1080,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,4,-1,-1,648,0,1,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-347,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,5,-1,-1,789,0,1,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,141,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,6,-1,-1,604,1,2,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,33.75,1
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,7,-1,-1,983,1,2,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,379,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,8,-1,-1,781,1,2,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-202,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,9,-1,-1,1068,1,2,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,287,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,10,-1,-1,739,1,2,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-329,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,11,-1,-1,801,1,3,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-4.25,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,12,-1,-1,601,1,3,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-200,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,13,-1,-1,708,1,3,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,107,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,14,-1,-1,682,1,3,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-26,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,15,-1,-1,784,1,3,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,102,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,16,-1,-1,1056,1,4,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-94.5,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,17,2,-1,622,1,4,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-434,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,18,-1,-1,681,1,4,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,59,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,19,-1,-1,775,1,4,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,94,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,20,-1,-1,678,1,4,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-97,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,21,-1,-1,723,1,5,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,39.5,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,22,-1,-1,737,1,5,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,14,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,23,-1,-1,688,1,5,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-49,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,24,-1,-1,637,1,5,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,-51,0
60004,156,1,23,6,-1,1,-1,1,1,.2,-1,7,0,0,20,25,-1,-1,881,1,5,-1,-.60000002,0,2.4227426,1,2,.5,.0062500001,.0015625,.66666669,1,1,1,1,4,-.39999998,244,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,1,24,39,2910,0,1,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-502.25,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,2,24,39,914,0,1,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-1996,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,3,24,39,549,0,1,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-365,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,4,24,39,1358,0,1,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,809,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,5,14,24,901,0,1,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-457,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,6,14,24,584,1,2,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-6.5,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,7,24,39,610,1,2,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,26,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,8,24,39,606,1,2,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-4,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,9,14,24,657,1,2,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,51,1
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,10,39,24,558,1,2,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-99,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,11,24,39,1112,1,3,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-105.5,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,12,24,39,2144,1,3,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,1032,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,13,24,39,1098,1,3,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-1046,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,14,24,39,1114,1,3,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,16,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,15,39,24,690,1,3,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-424,1
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,16,39,48,655,1,4,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-17.5,1
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,17,14,24,844,1,4,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,189,0
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,18,48,39,1822,1,4,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,978,1
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,19,14,24,1144,1,4,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-678,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,20,24,14,585,1,4,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-559,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,21,24,39,612,1,5,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-16,1
60004,162,1,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,22,24,39,719,1,5,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,107,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,23,39,48,597,1,5,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-122,1
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,24,39,24,632,1,5,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,35,0
60004,162,0,23,6,39,.60000002,14,1,48,.25,24,1,0,0,30,25,14,24,548,1,5,29,30,-.40824831,1.1547005,1,1.2,.2,.5,.375,1,1,1,1,1,1,-1,-84,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,1,25,12,8557,0,1,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-1986,0
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,2,12,25,2768,0,1,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-5789,0
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,3,12,25,2081,0,1,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-687,0
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,4,12,25,914,0,1,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-1167,0
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,5,12,25,613,0,1,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-301,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,6,25,12,873,1,2,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-42.5,1
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,7,12,25,2099,1,2,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,1226,1
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,8,25,12,1588,1,2,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-511,1
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,9,25,12,760,1,2,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-828,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,10,25,12,703,1,2,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-57,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,11,25,12,805,1,3,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-25.5,1
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,12,25,35,669,1,3,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-136,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,13,25,12,1137,1,3,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,468,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,14,25,12,627,1,3,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-510,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,15,25,12,703,1,3,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,76,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,16,25,12,581,1,4,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-11.25,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,17,25,12,615,1,4,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,34,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,18,25,12,603,1,4,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-12,0
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,19,12,25,550,1,4,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-53,1
60004,163,1,23,6,25,1,25,1,35,.2,12,1,0,0,26,20,35,25,536,1,4,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-14,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,21,25,12,1346,1,5,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-188,1
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,22,25,35,832,1,5,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-514,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,23,25,12,1057,1,5,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,225,0
60004,163,0,23,6,25,1,25,1,35,.2,12,1,0,0,26,24,25,12,927,1,5,25,16.6,0,1.5,1,2,.5,.40000001,.40000001,.86666667,1,1,1,1,1,8.3999996,-130,0
